Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
3960000,5.6459174,0.001040824,0.04474904647339945,54.56521739130435,-0.001982343,0.004326289286836982
3970000,6.211416,0.0010348505,0.13702760078012943,88.29464285714286,-0.0024072523,0.01378359746221187
3980000,5.061068,0.0010252551,0.18857236167317942,107.14736842105263,-0.002085602,0.017510857745172814
3990000,5.2445197,0.0010150502,0.17820971918314002,113.48837209302326,-0.0016799693,0.018894466132610695
4000000,4.510541,0.0010052313,0.10050914602886353,87.27678571428571,-0.0017811686,0.010276390285330958
4010000,4.351472,0.0009959752,0.10277595227005101,82.91596638655462,-0.002505379,0.010306345521934143
4020000,4.3739095,0.0009840921,0.04181880835029814,57.47953216374269,-0.002179632,0.0041572822105379135
4030000,4.311703,0.00097561313,0.09201251203599184,85.87826086956522,-0.0024971503,0.0089732783684588
4040000,5.5733676,0.00096565054,0.08001358616046417,85.58974358974359,-0.0028771912,0.008022277393083796
4050000,5.5268764,0.0009546778,0.0585861936211586,73.2,-0.0026298598,0.005985744776963084
4060000,6.3270125,0.0009454949,0.09563388799627622,125.42307692307692,-0.0018075239,0.009652119607497484
4070000,5.836415,0.000934951,0.11771722452741273,140.8450704225352,-0.00140049,0.011491621877263549
4080000,5.88264,0.00092435925,0.06623196917772294,78.304,-0.0014720937,0.006885152000933885
4090000,5.2759967,0.0009149786,0.07233914756071494,61.08074534161491,-0.0014657545,0.007193728760810372
4100000,4.951174,0.0009048204,0.11547739819100458,68.5068493150685,-0.0014559965,0.011345416111550455
4110000,4.9530973,0.00089484075,0.14696208622357618,66.89041095890411,-0.0014074708,0.014729449477959044
4120000,4.641449,0.0008851053,0.14417703726605788,67.03378378378379,-0.0012700962,0.014469239924128364
4130000,3.9985125,0.00087532686,0.14198132725038998,68.88732394366197,-0.0015136247,0.01406289755946377
4140000,4.038917,0.00086456083,0.09478305541865882,58.214285714285715,-0.0017174222,0.009582935103459195
4150000,3.8151007,0.0008549808,0.12150975594120304,71.91970802919708,-0.0015818442,0.012119639447353182
4160000,4.2805195,0.00084575,0.18627832994649285,104.74736842105263,-0.0010341229,0.01838155623623415
4170000,4.4308014,0.00083517696,0.24356872588396072,119.59036144578313,-0.0008048689,0.024876085351254927
4180000,4.060082,0.00082549173,0.28956866455641955,133.40540540540542,-0.0004900429,0.028238299315342226
4190000,3.8297324,0.0008147977,0.38516647056225806,162.30645161290323,-0.00018089366,0.03895970841779584
4200000,3.5659978,0.0008049392,0.368187592897032,176.16071428571428,4.052425e-05,0.03680121179370742
4210000,3.1688545,0.000795052,0.5555066532173822,234.93023255813952,0.00025240614,0.05521300143757185
4220000,2.7385747,0.0007856005,0.4401328716249693,234.07142857142858,0.00031153395,0.04339363319533212
4230000,2.5658705,0.00077443046,0.3835923487320542,249.0,0.0006675705,0.0391820568125695
4240000,2.245263,0.00076522527,0.2888348754062209,235.69767441860466,0.0005530189,0.028969592468943015
4250000,1.3408253,0.0007549665,0.2972936424471083,233.52380952380952,0.0009399578,0.02976811080727549
