Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
11900000,1.139288,6.210235e-05,1.0965103,0.034648314,1.1499237045645714,114.0,1.149923712015152,0.0
11910000,1.139288,6.1894345e-05,1.1086731,0.034950785,1.9806884750723839,176.0,1.9806884825229645,0.0
11920000,1.1391658,6.170282e-05,1.1045519,0.032975167,2.714599770546522,247.0,2.7145997701950795,0.03496673784904041
11930000,1.1390303,6.150457e-05,1.1018748,0.03275608,1.425251241773367,141.5,1.4252512454986572,0.045464407186955214
11940000,1.1388872,6.129462e-05,1.102002,0.033372164,2.6695435874768205,244.45945945945945,2.669543586067251,0.0839698095176671
11950000,1.1388025,6.1109764e-05,1.1040112,0.033294342,2.748317487644298,246.0,2.7483174886022295,0.08166418756757464
11960000,1.1386052,6.09083e-05,1.1028214,0.033366125,2.6183291047408774,240.97297297297297,2.6183291037340424,0.07800605447610488
11970000,1.1385771,6.0707596e-05,1.1057131,0.033433665,2.674032211303711,246.0,2.674032211303711,0.07812096644192934
11980000,1.1384164,6.0517283e-05,1.1072261,0.033430997,2.750534582350935,246.0142857142857,2.750387775725213,0.07849338750584402
11990000,1.1382203,6.0316557e-05,1.1019628,0.033221584,2.749473482784298,246.0,2.7497759380856075,0.0803666982447376
12000000,1.1381408,6.0136612e-05,1.1049157,0.033300392,2.7596041361490884,246.0,2.7596041361490884,0.09111749473959208
12010000,1.1380166,5.9916278e-05,1.1037343,0.0336126,2.7080656193340054,245.2596153846154,2.708065619477286,0.08415455547555421
12020000,1.1379143,5.9707203e-05,1.0977153,0.033467893,1.7388230115175247,161.0,1.7388230140010517,0.05425513434844712
12030000,1.1377355,5.9495884e-05,1.1000291,0.03402597,2.6859736232773255,244.76315789473685,2.6110603415540288,0.0763499980260219
12040000,1.1377288,5.9290636e-05,1.1037029,0.03384464,2.710812587129033,243.30434782608697,2.7083564385771752,0.0832960887812078
12050000,1.1375799,5.9087204e-05,1.1052952,0.034390774,2.7677743484576545,246.0,2.7677743633588157,0.08292700412372749
12060000,1.1374358,5.8887654e-05,1.1075547,0.034389626,2.7504417128126386,245.50704225352112,2.740915129759482,0.08764721547985184
12070000,1.1373541,5.8702542e-05,1.1029866,0.033860285,2.738918846845627,246.0,2.7530454808473586,0.08631387894973158
12080000,1.1372621,5.8487574e-05,1.1096667,0.034025487,2.8018815461546183,246.0,2.8018815517425537,0.08609257102943957
12090000,1.1371946,5.8292426e-05,1.1090108,0.03394339,2.7753472779540047,246.0,2.775347276010375,0.08267389456539051
12100000,1.137093,5.810304e-05,1.1056707,0.0341873,2.7402429897870335,246.02857142857144,2.740242988722665,0.08176568397986038
12110000,1.1370678,5.7885172e-05,1.1092904,0.03453651,2.725118266124474,246.0,2.725118266124474,0.08376168621409881
12120000,1.1369742,5.769372e-05,1.1090269,0.034337778,2.742462611373733,246.0,2.742462612250272,0.0855703763115932
12130000,1.1368604,5.7499048e-05,1.1083608,0.034312975,2.770825157040044,246.0,2.787881560623646,0.08228578934601198
12140000,1.1367357,5.7293237e-05,1.1101142,0.034463037,2.45427905023098,246.0,2.7056722939014435,0.08579786407062784
12150000,1.1365474,5.709977e-05,1.1128688,0.034513097,2.7438179810038386,246.0,2.7438179797985973,0.08533193927039118
12160000,1.136424,5.689931e-05,1.107909,0.03435183,2.7028730364564137,242.84615384615384,2.7028730364564137,0.08157980014593938
12170000,1.1361431,5.6709592e-05,1.111585,0.03440894,2.6936829015612602,246.0,2.693682909011841,0.0800593881867826
12180000,1.1361419,5.6511428e-05,1.1146222,0.03467617,2.7106570927974056,244.57843137254903,2.7131822322096144,0.08139229656140111
12190000,1.135991,5.6311586e-05,1.1095386,0.03420645,2.776350647211075,246.0,2.6913110117117562,0.07958803744986653
12200000,1.135955,5.611442e-05,1.1112615,0.034584988,2.5401628113218715,230.42857142857142,2.5401628049356595,0.08670225872525147
12210000,1.1358374,5.5907112e-05,1.1126971,0.03409055,2.7772340009361507,246.63,2.7772340005636216,0.08579505446366965
12220000,1.1358001,5.571043e-05,1.1123267,0.034247685,2.6325777818759284,246.66666666666666,2.6325777769088745,0.0932702614615361
12230000,1.1355803,5.5513705e-05,1.1150501,0.034748375,2.7141636517353174,243.2439024390244,2.7141636499181025,0.0827542088880408
12240000,1.1354454,5.5308905e-05,1.1118109,0.03470295,2.718661718768999,246.015625,2.718661718070507,0.08987892595177982
12250000,1.1354067,5.5131233e-05,1.1143509,0.035182443,2.4694465460876622,223.66666666666666,2.3705861389636995,0.06369860004633665
12260000,1.1352953,5.49215e-05,1.1130488,0.034587912,2.7205879173018563,244.01408450704224,2.7247825988701413,0.08135221556437258
12270000,1.1352872,5.471864e-05,1.1129491,0.03455924,2.7106513696057455,242.14285714285714,2.7152403649585,0.0812549266225562
12280000,1.1351058,5.449722e-05,1.1163547,0.03486004,2.7633402804402927,246.0,2.763340280244225,0.08286927804644954
12290000,1.1349587,5.4282962e-05,1.1133202,0.034588125,2.7388598743214536,245.3582089552239,2.747162876951118,0.08114737416842892
12300000,1.1349298,5.4091885e-05,1.1142257,0.034144673,2.780302554368973,246.0,2.714666247367859,0.07953431584279645
12310000,1.1347921,5.388551e-05,1.1161568,0.034194544,2.7171111572533846,244.11111111111111,2.717111157046424,0.08362946819720997
12320000,1.1347454,5.368907e-05,1.1192604,0.034279194,2.755124031142755,246.0151515151515,2.755124032497406,0.08310422354914022
12330000,1.1345248,5.348478e-05,1.1134552,0.03415553,2.766791950519148,246.0,2.766791953852302,0.08080982809004031
12340000,1.1345178,5.3286796e-05,1.1143781,0.034254864,2.770135079820951,246.0,2.77013506491979,0.08881671167910099
12350000,1.1343424,5.30952e-05,1.1153586,0.0343312,2.7239333417798792,245.70408163265307,2.702036466253431,0.08459390137393616
12360000,1.134233,5.289396e-05,1.1155521,0.034058202,2.603814497590065,246.25,2.7694597771534553,0.08748622414154503
12370000,1.1341865,5.2701034e-05,1.1163433,0.03433427,2.551713124745422,230.44444444444446,2.5517131313681602,0.07766911201179028
12380000,1.1340992,5.2491625e-05,1.1171294,0.03416961,2.753735575824976,246.0204081632653,2.7537355745325285,0.0811873453441171
12390000,1.1340882,5.2294563e-05,1.1149747,0.034050465,2.670274816453457,246.0,2.6702748388051987,0.06754083978012204
12400000,1.1339434,5.211363e-05,1.1158247,0.03461603,2.7025848282944587,242.21428571428572,2.67228970729879,0.08248524058477155
12410000,1.1338611,5.1904954e-05,1.1190531,0.03424709,2.771747524807086,246.0,2.7702283534822585,0.08253361907186388
12420000,1.133768,5.1710995e-05,1.1237248,0.034350894,2.5938667953014374,246.0,2.5938668251037598,0.07392116449773312
12430000,1.133697,5.151963e-05,1.1220678,0.034343977,2.771474295230799,246.04651162790697,2.77147429488426,0.08439223498625811
12440000,1.1336185,5.1313786e-05,1.1196697,0.034266286,2.7394626412254115,242.69230769230768,2.739462640079168,0.08644940717002521
12450000,1.1334734,5.1126586e-05,1.1190408,0.034507904,2.6516373171596914,241.24324324324326,2.648463417051567,0.0832393747405149
12460000,1.1334522,5.0920393e-05,1.1142942,0.034580212,2.5075232550501823,232.33333333333334,2.523671653587371,0.08652926512877457
12470000,1.1333787,5.070522e-05,1.1223048,0.034298502,2.7386244629558765,246.01754385964912,2.738226506859064,0.08358479186426848
12480000,1.133304,5.0506434e-05,1.1207674,0.034594458,2.713841135727196,243.8780487804878,2.7111451689426493,0.0833099431517284
12490000,1.1332195,5.0309656e-05,1.1236713,0.03489704,2.7632504135610594,246.83870967741936,2.7633697885577964,0.08309424897434853
12500000,1.1331195,5.0102135e-05,1.1197574,0.03473986,2.7532780519441555,246.0,2.756636158341453,0.08749737577246768
12510000,1.1330851,4.9893588e-05,1.1197077,0.034790304,2.608702227473259,233.69230769230768,2.608702226327016,0.0845067839926252
12520000,1.133026,4.9691087e-05,1.1207759,0.035057988,2.709848769986239,245.0983606557377,2.709848771696208,0.08611247795404958
12530000,1.1329609,4.948704e-05,1.1156603,0.034852285,2.690110875054812,242.69230769230768,2.6901108714250417,0.08282557074935773
