Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
6780000,14.98095,3.2200434e-05,0.328028105199337,103.0,226.07874,245.26418,0.17587128281593323,0.0
6790000,14.957834,3.2151027e-05,0.8629388510187467,240.84,236.2584,247.08873,0.8440345858418664,0.004335569780926371
6800000,14.92008,3.2022876e-05,0.9168548421426252,249.93939393939394,238.32347,248.0903,0.858496755361557,0.19833185390020028
6810000,14.916677,3.1931766e-05,0.8641331374645234,230.375,238.43718,248.21371,0.8757431443000949,0.18551678232155566
6820000,14.93578,3.183048e-05,0.7727975361049175,213.24,237.5545,248.16037,0.7501965930804293,0.1666293938624415
6830000,14.949099,3.173707e-05,0.843262820903744,244.46428571428572,239.22554,248.65565,0.9050734777276109,0.19453738611645816
6840000,14.916078,3.165941e-05,0.7993343536029843,228.52941176470588,238.06609,248.17296,0.8154487452188204,0.18696093914467235
6850000,14.923391,3.155993e-05,0.8163765399602422,224.40350877192984,239.03563,248.47485,0.7905190143320295,0.17160864853196675
6860000,14.920033,3.1446136e-05,0.8587397998571396,244.2,238.79674,248.47673,0.8755796479015816,0.19494807792872917
6870000,14.923164,3.1347365e-05,0.8470448764359079,242.5121951219512,238.52477,248.5417,0.8579703794746865,0.19014851567221852
6880000,14.920143,3.1273164e-05,0.8690059192192096,240.0,238.74808,248.4158,0.8461539601641042,0.18752000192623763
6890000,14.930668,3.1170315e-05,0.8371679047612768,249.0,238.88217,248.44136,0.859801073372364,0.19461282752454281
6900000,14.940073,3.104315e-05,0.7950459589414737,232.2058823529412,238.9279,248.50984,0.7990222826954865,0.18646460594165892
6910000,14.951677,3.0954838e-05,0.8517102938695033,244.14754098360655,238.68959,248.56874,0.8284647971755121,0.19054876803988363
6920000,14.984187,3.0849777e-05,0.8516692917793989,248.8,238.95108,248.63237,0.8783230781555176,0.19569749124348162
6930000,14.933769,3.0766383e-05,0.8712834562448895,235.11764705882354,238.69136,248.88606,0.850640838749187,0.18171781197536824
6940000,14.896935,3.065289e-05,0.8425753539347131,233.97826086956522,238.84373,249.11998,0.8518862632471461,0.18000124971014123
6950000,14.881601,3.052646e-05,0.9111368147463634,249.10344827586206,239.07504,248.91,0.9203162014484405,0.1934640347957611
6960000,14.902224,3.0450587e-05,0.8590715756249983,236.69767441860466,238.76726,249.22607,0.8497145239795957,0.18795843315976007
6970000,14.919404,3.0366462e-05,0.8814403729306327,238.82222222222222,238.84619,249.28302,0.8641149586155301,0.1867807809086073
6980000,14.881747,3.0252908e-05,0.8954528100215472,249.0,239.64188,249.48804,0.9153488382697106,0.19492002949118614
6990000,14.889874,3.0153706e-05,0.8243580420274992,244.27027027027026,239.35376,249.43416,0.8294390706345439,0.19322097897529603
7000000,14.943592,3.0073528e-05,0.8811053855852647,238.8909090909091,239.00829,249.57483,0.8824776977647183,0.18093164304141388
7010000,14.934068,2.9926789e-05,0.8939640945089715,248.21428571428572,239.8247,249.66422,0.8945027902722359,0.19390924237668514
7020000,14.918664,2.9851812e-05,0.8007982766086404,227.8181818181818,239.86859,250.08188,0.7981770571998574,0.1770732467147437
7030000,14.869069,2.976331e-05,0.9488447943702341,248.175,240.51938,250.43872,0.9462439812719822,0.1939556658267975
7040000,14.915538,2.9636838e-05,0.7787142477252267,222.45454545454547,238.86371,249.72797,0.7756306693296541,0.17612767291509293
7050000,14.915544,2.9554587e-05,0.8487292989378884,236.3095238095238,240.84607,250.9506,0.869358036312319,0.18362706003799326
7060000,14.927902,2.9461253e-05,0.8696235236525536,240.56,240.58694,251.03763,0.8394254165745917,0.18701319183622087
7070000,14.919468,2.934578e-05,0.7620511589305742,227.11428571428573,240.42856,251.27782,0.79740025657554,0.18018206113646196
7080000,14.926657,2.9242443e-05,0.9310995216776685,245.4878048780488,241.69272,251.50981,0.9227943682089085,0.18779522144212957
7090000,14.935521,2.916382e-05,0.8222839901844661,244.35555555555555,241.37389,251.64088,0.8061190145771678,0.18688349225899067
7100000,14.935385,2.9048671e-05,0.8316530698054546,240.51351351351352,241.49591,251.85852,0.8566006710979996,0.18738478235900402
7110000,14.911602,2.8947612e-05,0.8366879590375479,231.69767441860466,240.9814,251.91914,0.8304711571613024,0.18002638021527334
7120000,14.905785,2.8859497e-05,0.8413189611462659,237.7674418604651,241.3741,252.03714,0.8401497531504858,0.184565264310333
7130000,14.914912,2.8744675e-05,0.801870197057724,231.0952380952381,241.34395,252.20541,0.8033216703076695,0.1789282018015551
7140000,14.92062,2.8651446e-05,0.773438089589278,220.86666666666667,240.59793,252.09853,0.7798983212974336,0.17257459412018458
7150000,14.895472,2.8551489e-05,0.8630858173763211,242.97727272727272,242.20367,252.16908,0.84079686534114,0.18976075947284698
7160000,14.918214,2.8451088e-05,0.8457474721595645,232.725,241.9942,252.36449,0.8689602204533511,0.18290186915979828
7170000,14.95966,2.8345126e-05,0.8463420110141359,240.09756097560975,242.3694,252.40761,0.8349392652148153,0.18707368768206456
7180000,14.952687,2.8252609e-05,0.9221740848407513,244.5121951219512,242.45665,252.60042,0.9255689804146929,0.19108555084321557
7190000,14.937175,2.8158747e-05,0.8641228452324867,236.0952380952381,242.02946,252.40758,0.8722786685185773,0.1851633276258196
7200000,14.942969,2.8047185e-05,0.8368695605368841,235.1904761904762,241.7467,252.43608,0.827564243582033,0.18351535312831402
7210000,14.956129,2.7948945e-05,0.8683449132811456,238.42857142857142,242.19029,252.48035,0.8857143565657593,0.19005064116347403
7220000,14.940843,2.7847294e-05,0.8631655119541215,240.609756097561,242.06212,252.54344,0.8443969827963085,0.1869394135002683
7230000,14.953324,2.7754266e-05,0.7928432903356022,224.64444444444445,241.51686,252.23605,0.8024341114693218,0.1803979605436325
7240000,14.944495,2.7648766e-05,0.8478806866776376,233.16666666666666,241.70503,252.46536,0.8376547500845932,0.18266925118154004
7250000,14.928717,2.7554637e-05,0.8130177428776567,226.36363636363637,241.49585,252.29599,0.8212082228538665,0.17912539907477118
7260000,14.923521,2.7445954e-05,0.9101167324839569,244.65853658536585,242.18138,252.43265,0.9099716304278955,0.19163951386765735
7270000,14.892573,2.7351995e-05,0.8098043325272474,224.70454545454547,240.17085,252.32373,0.8012306072156538,0.17780498271300035
7280000,14.909022,2.7256758e-05,0.8427762053906918,230.1818181818182,240.82172,252.48096,0.8449481571601196,0.1778362479738214
7290000,14.879079,2.7144997e-05,0.859900507398627,231.8409090909091,242.48753,252.9643,0.8607650555150453,0.17894651862077934
7300000,14.897257,2.7053251e-05,0.8883223490789532,243.325,243.48204,253.65569,0.8907790133138982,0.18557166271820302
