Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1940000,0.543902,0.0006131888,0.3119335582272874,250.0,0.15481065,0.31459947254346765
1950000,0.13917252,0.0006113957,0.31327676959335804,250.0,0.15541539,0.3067810133099556
1960000,0.40511447,0.0006096342,0.31333690176944473,243.3783783783784,0.15223661,0.31932712237282496
1970000,-0.01079854,0.00060773775,0.2550572672858834,224.2,0.13322005,0.260574273257093
1980000,-0.34153128,0.000605875,0.2648468033318788,244.2394366197183,0.14330305,0.2538369350680491
1990000,-0.16247982,0.00060234015,0.21418322490321265,203.22222222222223,0.12884124,0.2241174803736309
2000000,-0.8015057,0.000600439,0.1702187391264098,163.0,0.1250759,0.22583945048972964
2010000,-0.39006093,0.00059979805,0.2642009216718949,237.53846153846155,0.11110176,0.25578801121030537
2020000,-1.2052568,0.00059732667,0.30788402475657,240.7741935483871,0.1234654,0.30402203867348226
2030000,-2.0289416,0.00059514353,0.29361843124583914,233.35185185185185,0.10870859,0.29104083759147065
2040000,-1.8396126,0.0005931748,0.32336091863758426,247.47058823529412,0.11505222,0.31521690800422575
2050000,-1.8751453,0.0005906421,0.33760225607289207,249.0,0.120060384,0.3392292134463787
2060000,-1.6923242,0.0005892253,0.33191341906785965,249.0,0.11991073,0.3330053575336933
2070000,-1.5883827,0.0005875418,0.3313207882973883,249.0,0.11978407,0.3334181778132915
2080000,-2.0353491,0.0005846199,0.3223455436527729,249.1153846153846,0.11905964,0.32062804847955706
2090000,-2.6594033,0.0005825518,0.32175207398831845,249.05,0.1120767,0.3238374799489975
2100000,-2.181218,0.0005809633,0.3256731636535663,249.05769230769232,0.108752154,0.33009274750947953
2110000,-3.0342264,0.00057838176,0.3267697114497423,249.03571428571428,0.09962345,0.3198431469500065
2120000,-2.623663,0.0005771375,0.3248288790677108,249.09803921568627,0.10258408,0.32552360072731973
2130000,-2.8703895,0.00057518197,0.33604561048559844,249.09375,0.09578912,0.3306375652551651
2140000,-3.1617327,0.0005728095,0.3129232888286178,249.05405405405406,0.09913579,0.3191888228058815
2150000,-3.1290958,0.00057123887,0.3145751770585775,249.05,0.095933214,0.31524277329444883
2160000,-3.1549118,0.00056916487,0.3205385828390718,249.0,0.08714116,0.31909095123410225
2170000,-3.5221891,0.00056654343,0.3181055092563232,249.41666666666666,0.08966972,0.31641944784384507
2180000,-3.6654332,0.0005645097,0.3161107961361001,249.02439024390245,0.08963477,0.3209699012339115
2190000,-3.4296615,0.0005626286,0.309915815961772,249.0344827586207,0.089094125,0.31305738277733325
