Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
350000,14.563839,0.0009310435,-0.9013434666654337,85.81739130434782,10.824689,-0.903437103914178,1.5836416,-10.775096,0.7619947,0.7609044,0.065889075
360000,14.603806,0.0009289406,-0.9180194787525883,102.32291666666667,10.476672,-0.9186590760946274,1.3831264,-10.428489,0.6697183,0.668142,0.06149232
370000,14.635793,0.00092697993,-0.8348215916577507,117.03529411764706,10.230985,-0.8335949652335223,1.3118683,-10.174087,0.63441944,0.63403946,0.05848225
380000,14.681937,0.0009250856,-0.8744761110920655,103.84210526315789,9.969023,-0.8745446154945775,1.2678162,-9.894596,0.6162802,0.6138569,0.055071563
390000,14.76378,0.00092299876,-0.8957534104585647,132.98666666666668,9.715518,-0.8974595146377882,1.1268312,-9.617135,0.54901356,0.5476554,0.05168336
400000,14.790126,0.0009210713,-0.7420208127775663,139.14084507042253,9.562722,-0.7336835861206055,0.999298,-9.360328,0.4849478,0.4837222,0.0485535
410000,14.801267,0.0009190654,-0.7326126310323912,158.0793650793651,9.407956,-0.7440982727067811,0.9374827,-9.099526,0.45268014,0.4503364,0.045557737
420000,14.852249,0.00091702363,-0.6917537965658885,149.52238805970148,9.24834,-0.7086489808870785,0.8232224,-8.986102,0.39431578,0.39319003,0.04373733
430000,14.881815,0.0009149721,-0.7681066166948188,148.84848484848484,9.119699,-0.7623327701832309,0.74095243,-8.846931,0.35769513,0.35536134,0.042074986
440000,14.914883,0.0009130074,-0.6764519903207978,161.03225806451613,9.003016,-0.655906647924454,0.60977876,-8.66865,0.29527506,0.2910953,0.039619435
450000,14.854078,0.00091083185,-0.6836454610502909,159.82539682539684,8.868928,-0.7047685076083455,0.5735977,-8.45014,0.27571884,0.27381718,0.037131574
460000,14.804665,0.00090894767,-0.7227263826644048,153.34375,9.09959,-0.7050862360047176,0.521346,-8.353031,0.24758354,0.24598853,0.03533828
470000,14.626259,0.00090695266,-0.6875986350725775,135.73972602739727,9.124841,-0.6894675162557053,0.5269379,-8.293539,0.2529971,0.25036308,0.033733066
480000,14.453631,0.000905007,-0.8250921567583956,121.67073170731707,9.333194,-0.8248752768991924,0.5146683,-8.188647,0.2458384,0.24264091,0.03174818
490000,14.207345,0.0009030481,-0.9028176460001204,110.94444444444444,9.466251,-0.9027494089470969,0.55497897,-8.078001,0.2646807,0.26314208,0.02953682
500000,13.855843,0.0009008904,-0.8822381783356058,104.70212765957447,9.401228,-0.8815952013147638,0.62920505,-8.11037,0.2936643,0.29337493,0.027873578
510000,13.733272,0.0008989806,-0.8213087833589978,121.22222222222223,9.09266,-0.8215656338466538,0.623755,-7.9987164,0.29460996,0.2969731,0.026490323
520000,13.671125,0.0008971493,-0.7727610947213311,145.47826086956522,9.048993,-0.7875109241492506,0.67522585,-8.080484,0.3197981,0.318687,0.025234563
